id Material Temperatura Duracion
1  Material1          15      155
2  Material1          80       34
3  Material1         125       20
4  Material2          15      150
5  Material2          80      126
6  Material2         125       25
7  Material3          15      138
8  Material3          80      174
9  Material3         125       96
10 Material1          15      130
11 Material1          80       40
12 Material1         125       70
13 Material2          15      188
14 Material2          80      122
15 Material2         125       58
16 Material3          15      168
17 Material3          80      150
18 Material3         125       82
19 Material1          15       74
20 Material1          80       80
21 Material1         125       82
22 Material2          15      159
23 Material2          80      106
24 Material2         125       70
25 Material3          15      110
26 Material3          80      120
27 Material3         125      104
28 Material1          15      180
29 Material1          80       75
30 Material1         125       58
31 Material2          15      126
32 Material2          80      115
33 Material2         125       45
34 Material3          15      160
35 Material3          80      139
36 Material3         125       60
